Nstudy,Study,YearStudy,Age,Name,Forest.cov,MeanHabitat,BGroupOverall,BGroupBRealm,BGroupBiome,BGroupContIsla,nAi,nAk,Ai,Ak,RRR,nSi,nSk,Dissim,Sim_S_toOGF,Sor_in_OGF,RRS,StudyTaxa,Ntaxa,Taxa,Country,Continent_Island,Site,Biogeographic_realms,Nbiome,Biome,Mean_Longitude,Mean_Latitude,Mean_Elevation,Mean_Rainfall,Matrix_Means,Matrix,Ndist,Previous_Use,Methods,MeanMet,N,Gamma,List,Data,MeanData,Moist_Forest_specialist,p.ForSpec,InSpp,p.In,SDSpp,p.SD,GrSpp,p.Gr,PrSpp,p.Pr,PoSpp,p.Po,ScSpp,p.Sc,GzSpp,p.Gz
4,Vallan,2002,25,4.Vallan.2002.25,MSF,S1,AmphibiansMSF,AfrotropicAmphibiansMSF,1.TropMoAmphibiansMSF,IslandAmphibiansMSF,1,4,28,32.25,-0.141313533,1,4,0.562,0.438,0.623,-0.352,4,1,Amphibians,Madagascar,Island,Andasibe,Afrotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,48,-18,900,1680,2,Fragmented,3,P,ASUFT,Amphibian_Searching_Unfixed_Trails,6,82,Yes,RA,Relative_Abundance,19,0.678571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Vallan,2002,NA,4.Vallan.2002.NA,OGF,mean.F4.F3.F2.F1,AmphibiansOGF,AfrotropicAmphibiansOGF,1.TropMoAmphibiansOGF,IslandAmphibiansOGF,4,4,32.25,32.25,0,4,4,0.618,0.623,0.623,0.000,4,1,Amphibians,Madagascar,Island,Andasibe,Afrotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,48,-18,760,1680,2,Fragmented,5,U,ASUFT,Amphibian_Searching_Unfixed_Trails,6,82,Yes,RA,Relative_Abundance,17,0.527131783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Vallan,2002,NA,4.Vallan.2002.NA,OGF,mean.F4.F3.F2.F1,AmphibiansOGF,AfrotropicAmphibiansOGF,1.TropMoAmphibiansOGF,IslandAmphibiansOGF,4,4,32.25,32.25,0,4,4,0.472,0.623,0.623,0.000,4,1,Amphibians,Madagascar,Island,Andasibe,Afrotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,48,-18,930,1680,2,Fragmented,5,U,ASUFT,Amphibian_Searching_Unfixed_Trails,6,82,Yes,RA,Relative_Abundance,18,0.558139535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Vallan,2002,NA,4.Vallan.2002.NA,OGF,mean.F4.F3.F2.F1,AmphibiansOGF,AfrotropicAmphibiansOGF,1.TropMoAmphibiansOGF,IslandAmphibiansOGF,4,4,32.25,32.25,0,4,4,0.418,0.623,0.623,0.000,4,1,Amphibians,Madagascar,Island,Andasibe,Afrotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,48,-18,800,1680,2,Fragmented,5,U,ASUFT,Amphibian_Searching_Unfixed_Trails,6,82,Yes,RA,Relative_Abundance,25,0.775193798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Vallan,2002,NA,4.Vallan.2002.NA,OGF,mean.F4.F3.F2.F1,AmphibiansOGF,AfrotropicAmphibiansOGF,1.TropMoAmphibiansOGF,IslandAmphibiansOGF,4,4,32.25,32.25,0,4,4,0.000,0.623,0.623,0.000,4,1,Amphibians,Madagascar,Island,Andasibe,Afrotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,48,-18,900,1680,2,Fragmented,5,U,ASUFT,Amphibian_Searching_Unfixed_Trails,6,82,Yes,RA,Relative_Abundance,32,0.992248062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Pawar_etal,2004,1,5.Pawar_etal.2004.1,YSF,mean.jh1A.jh1B,AmphibiansYSF,Indo_MalayAmphibiansYSF,1.TropMoAmphibiansYSF,ContinentAmphibiansYSF,2,2,1,10.5,-2.351375257,2,2,0.846,0.154,0.786,-1.631,5,1,Amphibians,India,Continent,Ngengpui_Wildlife_Sanctuary,Indo_Malay,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,93,22,700,2800,2,Fragmented,4,SB,ALP,Amphibian_Litterplots,7,16,Yes,P,Presence,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Pawar_etal,2004,1,5.Pawar_etal.2004.1,YSF,mean.jh1A.jh1B,AmphibiansYSF,Indo_MalayAmphibiansYSF,1.TropMoAmphibiansYSF,ContinentAmphibiansYSF,2,2,1,10.5,-2.351375257,2,2,0.846,0.154,0.786,-1.631,5,1,Amphibians,India,Continent,Ngengpui_Wildlife_Sanctuary,Indo_Malay,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,93,22,700,2800,2,Fragmented,4,SB,ALP,Amphibian_Litterplots,7,16,Yes,P,Presence,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Pawar_etal,2004,5,5.Pawar_etal.2004.5,YSF,jh5,AmphibiansYSF,Indo_MalayAmphibiansYSF,1.TropMoAmphibiansYSF,ContinentAmphibiansYSF,1,2,0,10.5,NA,NA,NA,NA,NA,NA,NA,5,1,Amphibians,India,Continent,Ngengpui_Wildlife_Sanctuary,Indo_Malay,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,93,22,700,2800,2,Fragmented,4,SB,ALP,Amphibian_Litterplots,7,16,Yes,P,Presence,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Pawar_etal,2004,10,5.Pawar_etal.2004.10,YSF,jh10,AmphibiansYSF,Indo_MalayAmphibiansYSF,1.TropMoAmphibiansYSF,ContinentAmphibiansYSF,1,2,2,10.5,-1.658228077,1,2,0.857,0.143,0.786,-1.705,5,1,Amphibians,India,Continent,Ngengpui_Wildlife_Sanctuary,Indo_Malay,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,93,22,700,2800,2,Fragmented,4,SB,ALP,Amphibian_Litterplots,7,16,Yes,P,Presence,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Pawar_etal,2004,35,5.Pawar_etal.2004.35,MSF,jh35,AmphibiansMSF,Indo_MalayAmphibiansMSF,1.TropMoAmphibiansMSF,ContinentAmphibiansMSF,1,2,8,10.5,-0.271933715,1,2,0.500,0.500,0.786,-0.452,5,1,Amphibians,India,Continent,Ngengpui_Wildlife_Sanctuary,Indo_Malay,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,93,22,700,2800,2,Fragmented,4,SB,ALP,Amphibian_Litterplots,7,16,Yes,P,Presence,3,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Pawar_etal,2004,NA,5.Pawar_etal.2004.NA,OGF,mean.matC.matB,AmphibiansOGF,Indo_MalayAmphibiansOGF,1.TropMoAmphibiansOGF,ContinentAmphibiansOGF,2,2,10.5,10.5,0,2,2,0.429,0.786,0.786,0.000,5,1,Amphibians,India,Continent,Ngengpui_Wildlife_Sanctuary,Indo_Malay,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,93,22,700,2800,2,Fragmented,5,U,ALP,Amphibian_Litterplots,7,16,Yes,P,Presence,5,0.476190476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Pawar_etal,2004,NA,5.Pawar_etal.2004.NA,OGF,mean.matC.matB,AmphibiansOGF,Indo_MalayAmphibiansOGF,1.TropMoAmphibiansOGF,ContinentAmphibiansOGF,2,2,10.5,10.5,0,2,2,0.000,0.786,0.786,0.000,5,1,Amphibians,India,Continent,Ngengpui_Wildlife_Sanctuary,Indo_Malay,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,93,22,700,2800,2,Fragmented,5,U,ALP,Amphibian_Litterplots,7,16,Yes,P,Presence,6,0.571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Ernst_and_Rodel,2005,25,6.Ernst_and_Rodel.2005.25,MSF,Secondary_forest,AmphibiansMSF,AfrotropicAmphibiansMSF,1.TropMoAmphibiansMSF,ContinentAmphibiansMSF,1,1,18,20,-0.105360516,1,1,0.211,0.789,1.000,-0.236,6,1,Amphibians,Ivory_Coast,Continent,Tai_National_Park,Afrotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-7,5,100,1700,1,Continuous_Forest,1,CA,AVT,Amphibian_Visual_Transect,2,23,Yes,P,Presence,10,0.555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Ernst_and_Rodel,2005,NA,6.Ernst_and_Rodel.2005.NA,OGF,Primary_Forest,AmphibiansOGF,AfrotropicAmphibiansOGF,1.TropMoAmphibiansOGF,ContinentAmphibiansOGF,1,1,20,20,0,1,1,0.000,1.000,1.000,0.000,6,1,Amphibians,Ivory_Coast,Continent,Tai_National_Park,Afrotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-7,5,100,1700,1,Continuous_Forest,5,U,AVT,Amphibian_Visual_Transect,2,23,Yes,P,Presence,14,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Gardner_etal,2007,17,7.Gardner_etal.2007.17,YSF,mean.Area55.56.75.86.91,AmphibiansYSF,NeotropicAmphibiansYSF,1.TropMoAmphibiansYSF,ContinentAmphibiansYSF,1,5,8.2,9.2,-0.11506933,NA,NA,NA,NA,NA,NA,7,1,Amphibians,Brazil,Continent,Jari_River,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-52,-1,100,2115,1,Continuous_Forest,3,P,AVT,Amphibian_Visual_Transect,10,23,No,R,Species_richness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Gardner_etal,2007,17,7.Gardner_etal.2007.17,YSF,mean.Area55.56.75.86.91,AmphibiansYSF,NeotropicAmphibiansYSF,1.TropMoAmphibiansYSF,ContinentAmphibiansYSF,1,5,8.2,9.2,-0.11506933,NA,NA,NA,NA,NA,NA,7,1,Amphibians,Brazil,Continent,Jari_River,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-52,-1,100,2115,1,Continuous_Forest,3,P,AVT,Amphibian_Visual_Transect,10,23,No,R,Species_richness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Gardner_etal,2007,17,7.Gardner_etal.2007.17,YSF,mean.Area55.56.75.86.91,AmphibiansYSF,NeotropicAmphibiansYSF,1.TropMoAmphibiansYSF,ContinentAmphibiansYSF,1,5,8.2,9.2,-0.11506933,NA,NA,NA,NA,NA,NA,7,1,Amphibians,Brazil,Continent,Jari_River,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-52,-1,100,2115,1,Continuous_Forest,3,P,AVT,Amphibian_Visual_Transect,10,23,No,R,Species_richness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Gardner_etal,2007,17,7.Gardner_etal.2007.17,YSF,mean.Area55.56.75.86.91,AmphibiansYSF,NeotropicAmphibiansYSF,1.TropMoAmphibiansYSF,ContinentAmphibiansYSF,1,5,8.2,9.2,-0.11506933,NA,NA,NA,NA,NA,NA,7,1,Amphibians,Brazil,Continent,Jari_River,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-52,-1,100,2115,1,Continuous_Forest,3,P,AVT,Amphibian_Visual_Transect,10,23,No,R,Species_richness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Gardner_etal,2007,17,7.Gardner_etal.2007.17,YSF,mean.Area55.56.75.86.91,AmphibiansYSF,NeotropicAmphibiansYSF,1.TropMoAmphibiansYSF,ContinentAmphibiansYSF,1,5,8.2,9.2,-0.11506933,NA,NA,NA,NA,NA,NA,7,1,Amphibians,Brazil,Continent,Jari_River,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-52,-1,100,2115,1,Continuous_Forest,3,P,AVT,Amphibian_Visual_Transect,10,23,No,R,Species_richness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Gardner_etal,2007,NA,7.Gardner_etal.2007.NA,OGF,mean.Bituba.Quaruba.Pacanari.Castanhal.Estacao,AmphibiansOGF,NeotropicAmphibiansOGF,1.TropMoAmphibiansOGF,ContinentAmphibiansOGF,5,5,9.2,9.2,0,NA,NA,NA,NA,NA,NA,7,1,Amphibians,Brazil,Continent,Jari_River,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-52,-1,100,2115,1,Continuous_Forest,5,U,AVT,Amphibian_Visual_Transect,10,23,No,R,Species_richness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Gardner_etal,2007,NA,7.Gardner_etal.2007.NA,OGF,mean.Bituba.Quaruba.Pacanari.Castanhal.Estacao,AmphibiansOGF,NeotropicAmphibiansOGF,1.TropMoAmphibiansOGF,ContinentAmphibiansOGF,5,5,9.2,9.2,0,NA,NA,NA,NA,NA,NA,7,1,Amphibians,Brazil,Continent,Jari_River,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-52,-1,100,2115,1,Continuous_Forest,5,U,AVT,Amphibian_Visual_Transect,10,23,No,R,Species_richness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Gardner_etal,2007,NA,7.Gardner_etal.2007.NA,OGF,mean.Bituba.Quaruba.Pacanari.Castanhal.Estacao,AmphibiansOGF,NeotropicAmphibiansOGF,1.TropMoAmphibiansOGF,ContinentAmphibiansOGF,5,5,9.2,9.2,0,NA,NA,NA,NA,NA,NA,7,1,Amphibians,Brazil,Continent,Jari_River,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-52,-1,100,2115,1,Continuous_Forest,5,U,AVT,Amphibian_Visual_Transect,10,23,No,R,Species_richness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Gardner_etal,2007,NA,7.Gardner_etal.2007.NA,OGF,mean.Bituba.Quaruba.Pacanari.Castanhal.Estacao,AmphibiansOGF,NeotropicAmphibiansOGF,1.TropMoAmphibiansOGF,ContinentAmphibiansOGF,5,5,9.2,9.2,0,NA,NA,NA,NA,NA,NA,7,1,Amphibians,Brazil,Continent,Jari_River,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-52,-1,100,2115,1,Continuous_Forest,5,U,AVT,Amphibian_Visual_Transect,10,23,No,R,Species_richness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Gardner_etal,2007,NA,7.Gardner_etal.2007.NA,OGF,mean.Bituba.Quaruba.Pacanari.Castanhal.Estacao,AmphibiansOGF,NeotropicAmphibiansOGF,1.TropMoAmphibiansOGF,ContinentAmphibiansOGF,5,5,9.2,9.2,0,NA,NA,NA,NA,NA,NA,7,1,Amphibians,Brazil,Continent,Jari_River,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-52,-1,100,2115,1,Continuous_Forest,5,U,AVT,Amphibian_Visual_Transect,10,23,No,R,Species_richness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Rios_and_Aide,2007,0,8.Rios_and_Aide.2007.0,ES,Deforested_valley,AmphibiansES,NeotropicAmphibiansES,1.TropMoAmphibiansES,IslandAmphibiansES,1,2,4,3,0.287682072,1,2,0.429,0.571,1.000,-0.560,8,1,Amphibians,Puerto_Rico,Island,Sabana_Seca,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-66,18,100,1700,2,Fragmented,3,P,AVT,Amphibian_Visual_Transect,4,5,Yes,P,Presence,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Rios_and_Aide,2007,35,8.Rios_and_Aide.2007.35,MSF,Old_Valley,AmphibiansMSF,NeotropicAmphibiansMSF,1.TropMoAmphibiansMSF,IslandAmphibiansMSF,1,2,3,3,0,1,2,0.333,0.667,1.000,-0.405,8,1,Amphibians,Puerto_Rico,Island,Sabana_Seca,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-66,18,100,1700,2,Fragmented,3,P,AVT,Amphibian_Visual_Transect,4,5,Yes,P,Presence,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Rios_and_Aide,2007,65,8.Rios_and_Aide.2007.65,OGF,mean.Karst_hilltop.Karst_hillside,AmphibiansOGF,NeotropicAmphibiansOGF,1.TropMoAmphibiansOGF,IslandAmphibiansOGF,2,2,3,3,0,2,2,0.000,1.000,1.000,0.000,8,1,Amphibians,Puerto_Rico,Island,Sabana_Seca,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-66,18,100,1700,2,Fragmented,5,U,AVT,Amphibian_Visual_Transect,4,5,Yes,P,Presence,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Rios_and_Aide,2007,65,8.Rios_and_Aide.2007.65,OGF,mean.Karst_hilltop.Karst_hillside,AmphibiansOGF,NeotropicAmphibiansOGF,1.TropMoAmphibiansOGF,IslandAmphibiansOGF,2,2,3,3,0,2,2,0.000,1.000,1.000,0.000,8,1,Amphibians,Puerto_Rico,Island,Sabana_Seca,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-66,18,100,1700,2,Fragmented,5,U,AVT,Amphibian_Visual_Transect,4,5,Yes,P,Presence,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,DeSouza_etal,2008,0,9.DeSouza_etal.2008.0,ES,mean.MTZ1.MTZ2.MTZ3,AmphibiansES,NeotropicAmphibiansES,1.TropMoAmphibiansES,ContinentAmphibiansES,3,3,9,4.67,0.656065506,3,3,0.636,0.429,0.742,-0.548,9,1,Amphibians,Brazil,Continent,Reserva_Experimental_Catuaba,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-67,-10,214,1973,2,Fragmented,1,CA,ALP,Amphibian_Litterplots,9,27,Yes,A,Abundance,1,0.111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,DeSouza_etal,2008,0,9.DeSouza_etal.2008.0,ES,mean.MTZ1.MTZ2.MTZ3,AmphibiansES,NeotropicAmphibiansES,1.TropMoAmphibiansES,ContinentAmphibiansES,3,3,9,4.67,0.656065506,3,3,0.647,0.429,0.742,-0.548,9,1,Amphibians,Brazil,Continent,Reserva_Experimental_Catuaba,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-67,-10,214,1973,2,Fragmented,1,CA,ALP,Amphibian_Litterplots,9,27,Yes,A,Abundance,2,0.222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,DeSouza_etal,2008,0,9.DeSouza_etal.2008.0,ES,mean.MTZ1.MTZ2.MTZ3,AmphibiansES,NeotropicAmphibiansES,1.TropMoAmphibiansES,ContinentAmphibiansES,3,3,9,4.67,0.656065506,3,3,0.429,0.429,0.742,-0.548,9,1,Amphibians,Brazil,Continent,Reserva_Experimental_Catuaba,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-67,-10,214,1973,2,Fragmented,1,CA,ALP,Amphibian_Litterplots,9,27,Yes,A,Abundance,1,0.111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
